Part ID,X mm,Y mm,Z mm,Solid PLA mass g,Description
B01_open_front_base_240x240,241.0,240.0,90.0,744.023,"4 mm walls, 5 mm floor; four M4 fasteners attach printed feet. External bench attachment must be provided separately. M3 captive nuts in top posts."
B02_structural_lid,240.0,240.0,5.0,341.498,Remove to access drive. Hole Ø42.4 captures upper printed journal bushing.
B03_service_front_panel,230.0,85.0,3.0,68.486,"Removable front panel; shown lying in front. Assembly transform: translation(0,-118.5,5) with no rotation."
B05_lower_journal_support,64.0,62.0,46.0,46.223,Four M3 floor bolts; lower sleeve seat Ø42.3. Printed support carries overturning load.
B06_replaceable_lower_bushing,52.0,52.0,10.0,8.729,Ø32.5 running bore for Ø32 shaft. Trial clearance 0.25 radial.
B07_upper_bushing_and_thrust_ring,90.0,90.0,14.0,28.014,"Replaceable polymer plain bearing, not a ball bearing. Printed thrust surface; friction unmeasured."
B08_printed_hollow_yaw_shaft,76.0,76.0,80.0,131.523,"Ø32 journal; 14 mm cable bore. Radial gap0.25, axial running allowance0.3. No metal shaft."
B17_split_yaw_retaining_collar,48.0,38.0,10.0,4.602,Split printed collar under lower sleeve;0.3 axial gap prevents lifting without clamping the bearing.
B09_yaw_60T_module1p5,92.999,92.999,10.0,61.23,"60 teeth, pitch Ø90, 20° involute. 60 mm centre distance."
B18_yaw_gear_screw_spacer_0,7.0,7.0,0.5,0.018,
B18_yaw_gear_screw_spacer_1,7.0,7.0,0.5,0.018,
B18_yaw_gear_screw_spacer_2,7.0,7.0,0.5,0.018,
B18_yaw_gear_screw_spacer_3,7.0,7.0,0.5,0.018,
B10_rotating_pedestal_deck,160.0,108.0,6.0,123.882,Structural deck 160×108×6; keyed bolt patterns to yaw flange and shoulder stand.
B19_deck_screw_spacer_0,7.0,7.0,0.8,0.029,
B19_deck_screw_spacer_1,7.0,7.0,0.8,0.029,
B19_deck_screw_spacer_2,7.0,7.0,0.8,0.029,
B19_deck_screw_spacer_3,7.0,7.0,0.8,0.029,
J1_BASE_C01_Keyed_motor_cradle,51.2,67.2,39.3,22.886,AX-12A cradle: 0.35 mm per side; 34.0 mm front access window; 4 M3 posts. Front captive M3 nuts: 5.8 AF x 2.8 mm recess in 9.2 mm bosses. Case is located by corners and front/rear lips; no invented motor-body holes. Standard base-compatible frame.
J1_BASE_C02_Connector_access_rear_cap,51.2,67.2,4.6,6.743,4.6 mm rear cap; 4 M3 clearance bores matched to cradle. Screws insert from the rear supporting wall and engage front captive nuts. Rear window clears the connector envelope; actual plugs must be checked.
J1_BASE_C04_1_Axial_fit_shim_030,31.9,32.663,0.3,0.08,Printed motor seating spacer 0.30 mm. Uses official STEP seating face; rear aperture clears vendor protrusions. Nominal total endplay 0.10 mm; confirm actual hardware seating and adjust thickness after fit coupon. AX front spacer is one connected U at the side/lower seating flange; nonfunctional upper corner remnants are removed.
